Country,Rainfall,Temperature,Population,Risk_Score
colombia,1.0,0.9545154523127302,0.007594723193332819,0.7878735803324856
sao tome and principe,0.9876543209876543,0.9545154523127302,3.261621045607254e-05,0.7801883194297373
papua new guinea,0.9697530864197531,0.9545154523127302,0.0014724052582121196,0.7715256599553381
solomon islands,0.9345679012345679,0.9545154523127302,0.00011167798860406602,0.7536609219088238
panama,0.9037037037037037,0.9545154523127302,0.0006440081142357415,0.738335289168518
costa rica,0.9030864197530865,0.9545154523127302,0.0007551702376490221,0.738048879617892
malaysia,0.8873456790123457,0.9545154523127302,0.0050835833972970165,0.7310441918794512
samoa,0.8888888888888888,0.9545154523127302,3.179253620117202e-05,0.7308054386455037
brunei darussalam,0.8401234567901235,0.9545154523127302,6.711257627745615e-05,0.7064297866041362
bangladesh,0.8228395061728395,0.9545154523127302,0.024945438173306977,0.7027634764149002
indonesia,0.8339506172839506,0.9079875835721107,0.04122344381499471,0.6976162724766075
fiji,0.8,0.9545154523127302,0.00013724849158378136,0.6863820853921359
sierra leone,0.7796296296296297,0.9545154523127302,0.0011869186514309124,0.67640683423892
singapore,0.770679012345679,0.9545154523127302,0.0008528961654039619,0.6718647210997394
liberia,0.7379629629629629,0.9545154523127302,0.0007724421962598417,0.6554906056145524
guyana,0.7367283950617284,0.9545154523127302,0.00012112571681320815,0.6547430583680458
philippines,0.7246913580246913,0.9545154523127302,0.0168126846864885,0.6520628516434624
grenada,0.7253086419753086,0.9545154523127302,1.7451663902637275e-05,0.649012447014254
ida & ibrd total,0.32299382716049385,0.9545154523127302,1.0,0.647851549274066
suriname,0.7194444444444444,0.9545154523127302,9.185025473282116e-05,0.6460952279669877
seychelles,0.7191358024691358,0.9545154523127302,1.4769734927338352e-05,0.6459254908753724
st. lucia,0.7101851851851851,0.9545154523127302,2.6738287367695775e-05,0.6414525759438852
nicaragua,0.7037037037037037,0.9545154523127302,0.000984819050163534,0.6384034513557036
ecuador,0.7018518518518518,0.9545154523127302,0.0026319872546550853,0.637806959070676
trinidad and tobago,0.6790123456790124,0.9545154523127302,0.00020501478711143904,0.6259018114907475
bhutan,0.6790123456790124,0.9545154523127302,0.0001155043012782606,0.625883909393581
equatorial guinea,0.6654320987654321,0.9545154523127302,0.0002574777819997421,0.619122180632935
myanmar,0.6453703703703704,0.9545154523127302,0.007952712485115091,0.6106303633760273
dominica,0.6429012345679013,0.9545154523127302,1.0136248484136363e-05,0.6078072802274664
puerto rico (us),0.6339506172839506,0.9545154523127302,0.0004922529954724083,0.6034283949348889
jamaica,0.6330246913580246,0.9545154523127302,0.00042462335396882897,0.6029519060436251
"venezuela, rb",0.6308641975308642,0.9545154523127302,0.0042667371934634836,0.6026400818979438
mauritius,0.6299382716049383,0.9545154523127302,0.00018990769224979523,0.6013617530347382
vanuatu,0.6172839506172839,0.9545154523127302,4.4830020118568435e-05,0.5950055770064846
guatemala,0.6160493827160494,0.9545154523127302,0.002603675420950856,0.5949000621360339
ibrd only,0.32299382716049385,0.9545154523127302,0.7317660575114487,0.5942047607763556
honduras,0.6098765432098765,0.9545154523127302,0.001517990700575758,0.5915965054388724
maldives,0.608641975308642,0.9545154523127302,7.531991796068818e-05,0.5906906873317322
iceland,0.5987654320987654,0.9545154523127302,5.497106874405552e-05,0.5857483459569506
cambodia,0.5876543209876544,0.9545154523127302,0.002508894979932253,0.5806835751836327
brazil,0.5435185185185185,1.0,0.03130004799877343,0.578019268859014
viet nam,0.562037037037037,0.9545154523127302,0.014712311886390581,0.5703156165896156
lao pdr,0.5660493827160494,0.9545154523127302,0.00110201240117958,0.5695997295320796
gabon,0.5651234567901234,0.9545154523127302,0.00034839110914266916,0.5689860423107094
el salvador,0.5506172839506173,0.9545154523127302,0.0009352284898603866,0.5618503233670998
japan,0.5148148148148148,0.9816732614726883,0.018939707721361214,0.5556973273934861
peru,0.5364197530864198,0.9545154523127302,0.00492593190490199,0.5555496986180093
new zealand,0.5345679012345679,0.9545154523127302,0.0007608824058563818,0.5537907627922742
sri lanka,0.528395061728395,0.9545154523127302,0.0032879468208276224,0.551209755922182
early-demographic dividend,0.32299382716049385,0.9545154523127302,0.5094226791215166,0.5497360850983692
belize,0.5262345679012346,0.9545154523127302,5.8623526298703624e-05,0.5494836443496961
guinea,0.5095679012345679,0.9545154523127302,0.002005736513324255,0.5415397336137677
"congo, rep.",0.5080246913580246,0.9545154523127302,0.0008629440612863615,0.5405395701850886
thailand,0.5006172839506173,0.9545154523127302,0.010746539055484875,0.5388125854802247
cameroon,0.49506172839506174,0.9545154523127302,0.003931699477540855,0.5346718397868581
st. vincent and the grenadines,0.48858024691358026,0.9545154523127302,1.552935729609017e-05,0.5306478650220684
guinea-bissau,0.4867283950617284,0.9545154523127302,0.00030199714297026847,0.5297792326532772
"congo, dem. rep.",0.4762345679012346,0.9545154523127302,0.014398923707986214,0.5273517043860335
switzerland,0.4743827160493827,0.9545154523127302,0.0012957632065982974,0.5238051463598301
chile,0.4697530864197531,0.9545154523127302,0.0029056791641154816,0.5218123147365187
madagascar,0.4669753086419753,0.9545154523127302,0.004343161293939255,0.5207109222735945
nepal,0.46296296296296297,0.9545154523127302,0.004345114051442496,0.518705139985589
timor-leste,0.46296296296296297,0.9545154523127302,0.00019891380745467089,0.5178758999367915
late-demographic dividend,0.32299382716049385,0.9545154523127302,0.34743309858194055,0.517338168990454
albania,0.4583333333333333,0.9545154523127302,0.0003792831688273291,0.5155971589942511
haiti,0.4444444444444444,0.9545154523127302,0.0016866268664386614,0.5089141832893289
st. kitts and nevis,0.4404320987654321,0.9545154523127302,7.0307070346361905e-06,0.506572091217942
barbados,0.4388888888888889,0.9545154523127302,4.225594431924356e-05,0.5058075313271273
norway,0.4364197530864197,0.9545154523127302,0.0008069450122711653,0.5047259012394831
dominican republic,0.4351851851851852,0.9545154523127302,0.0016512936259736627,0.5042774870116064
ida total,0.32299382716049385,0.9545154523127302,0.26823394248855126,0.5014983377717762
cote d'ivoire,0.4160493827160494,0.9545154523127302,0.00433744507561263,0.49524681606696624
india,0.33425925925925926,0.9485724519033976,0.210398849907013,0.4937811351820515
cuba,0.41203703703703703,0.9545154523127302,0.0016765024683034846,0.4927084547059982
oecd members,0.32299382716049385,0.9545154523127302,0.20540257778078844,0.48893206483022367
uruguay,0.4012345679012346,0.9545154523127302,0.0005098602139556924,0.4870738916872275
"bahamas, the",0.3987654320987654,0.9545154523127302,5.938119861003171e-05,0.48574922798292375
"korea, rep.",0.3932098765432099,0.9545154523127302,0.007775664821557133,0.4845147069297354
burundi,0.3932098765432099,0.9545154523127302,0.0018926111320985292,0.4833380961918437
ida only,0.32299382716049385,0.9545154523127302,0.1742651291701117,0.4827045751080883
post-demographic dividend,0.32299382716049385,0.9545154523127302,0.16755605545667623,0.4813627603654012
pre-demographic dividend,0.32299382716049385,0.9545154523127302,0.1497980502831463,0.47781115933069523
fragile and conflict affected situations,0.32299382716049385,0.9545154523127302,0.14923955818711784,0.4776994609114895
rwanda,0.37407407407407406,0.9545154523127302,0.0019599332645468277,0.4737836593837654
ghana,0.36635802469135803,0.9545154523127302,0.004783312205151167,0.47049031048052825
nigeria,0.3549382716049383,0.9545154523127302,0.03210037241608661,0.47024384597950547
uganda,0.36419753086419754,0.9545154523127302,0.006668769176579697,0.46978715496123374
malawi,0.36450617283950615,0.9545154523127302,0.002930169485286867,0.46919375601062946
togo,0.36049382716049383,0.9545154523127302,0.0013004962959745267,0.46686164853326084
ida blend,0.32299382716049385,0.9545154523127302,0.09396881331843955,0.4666453119377539
slovenia,0.358641975308642,0.9545154523127302,0.00031537213682638753,0.4657386977755053
bolivia,0.3537037037037037,0.9545154523127302,0.0017724970450749857,0.46356098695468584
paraguay,0.3487654320987654,0.9545154523127302,0.0009905900201024399,0.4609354697472222
ireland,0.3450617283950617,0.9545154523127302,0.0007559843116212211,0.4590366967536741
north america,0.32299382716049385,0.9545154523127302,0.05545224391331696,0.45894199805672936
croatia,0.3435185185185185,0.9545154523127302,0.0005871481898701768,0.4582313245910523
austria,0.3425925925925926,0.9545154523127302,0.0013375689876614935,0.4579184457876476
uk,0.3765432098765432,0.887450958783337,0.01001189482226921,0.4565092715377265
tanzania,0.33055555555555555,0.9545154523127302,0.009146189029657595,0.4534616512775283
"korea, dem. people's rep.",0.3253086419753086,0.9545154523127302,0.003920562249580676,0.44979306913138944
small states,0.32299382716049385,0.9545154523127302,0.002920909562608072,0.4484357311865876
other small states,0.32299382716049385,0.9545154523127302,0.0018626547999684255,0.44822408023405963
"hong kong sar, china",0.32299382716049385,0.9545154523127302,0.001122183045148567,0.44807598588309566
not classified,0.32299382716049385,0.9545154523127302,0.0010496792351143722,0.44806148512108884
serbia,0.32299382716049385,0.9545154523127302,0.0010348993748888723,0.4480585291490437
pacific island small states,0.32299382716049385,0.9545154523127302,0.0003893397649659269,0.44792941722705915
kosovo,0.32299382716049385,0.9545154523127302,0.00026853055747303204,0.4479052553855606
"macao sar, china",0.32299382716049385,0.9545154523127302,0.00010281302755578504,0.4478721118795771
montenegro,0.32299382716049385,0.9545154523127302,9.399126777966056e-05,0.4478703475276219
new caledonia,0.32299382716049385,0.9545154523127302,4.2627655265090123e-05,0.44786007480511897
french polynesia,0.32299382716049385,0.9545154523127302,4.1882583324807684e-05,0.4478599257907309
channel islands,0.32299382716049385,0.9545154523127302,2.493598429491673e-05,0.44785653647092494
guam,0.32299382716049385,0.9545154523127302,2.4324416285951256e-05,0.44785641415732313
curacao,0.32299382716049385,0.9545154523127302,2.33229867966568e-05,0.44785621387142527
kiribati,0.32299382716049385,0.9545154523127302,1.891540700577318e-05,0.4478553323554671
"micronesia, fed. sts.",0.32299382716049385,0.9545154523127302,1.663788993927262e-05,0.44785487685205383
aruba,0.32299382716049385,0.9545154523127302,1.6288529651590355e-05,0.44785480697999624
virgin islands (u.s.),0.32299382716049385,0.9545154523127302,1.5943969505258816e-05,0.447854738067967
tonga,0.32299382716049385,0.9545154523127302,1.5856066916773712e-05,0.4478547204874493
isle of man,0.32299382716049385,0.9545154523127302,1.26099713283477e-05,0.4478540712683316
andorra,0.32299382716049385,0.9545154523127302,1.1607341803715562e-05,0.4478538707424267
cayman islands,0.32299382716049385,0.9545154523127302,1.0302903391656755e-05,0.44785360985474426
bermuda,0.32299382716049385,0.9545154523127302,9.657584388819014e-06,0.4478534807909437
greenland,0.32299382716049385,0.9545154523127302,8.455298984880268e-06,0.4478532403338629
faroe islands,0.32299382716049385,0.9545154523127302,7.884982190647564e-06,0.44785312627050405
american samoa,0.32299382716049385,0.9545154523127302,7.464369804790516e-06,0.4478530421480269
northern mariana islands,0.32299382716049385,0.9545154523127302,7.129409941160419e-06,0.4478529751560542
turks and caicos islands,0.32299382716049385,0.9545154523127302,6.658096062286365e-06,0.4478528808932784
marshall islands,0.32299382716049385,0.9545154523127302,6.40608864137344e-06,0.44785283049179425
sint maarten (dutch part),0.32299382716049385,0.9545154523127302,6.151381140950734e-06,0.4478527795502941
liechtenstein,0.32299382716049385,0.9545154523127302,5.8353218338891065e-06,0.4478527163384327
monaco,0.32299382716049385,0.9545154523127302,5.7076680748433336e-06,0.4478526908076809
british virgin islands,0.32299382716049385,0.9545154523127302,5.570414033096115e-06,0.44785266335687257
gibraltar,0.32299382716049385,0.9545154523127302,5.426109783740024e-06,0.4478526344960227
san marino,0.32299382716049385,0.9545154523127302,5.2156535863942895e-06,0.44785259240478326
st. martin (french part),0.32299382716049385,0.9545154523127302,4.768040405439427e-06,0.44785250288214706
palau,0.32299382716049385,0.9545154523127302,2.668878591001645e-06,0.44785208304978413
nauru,0.32299382716049385,0.9545154523127302,1.7465014295768971e-06,0.44785189857435187
tuvalu,0.32299382716049385,0.9545154523127302,1.5598959345675643e-06,0.4478518612532529
benin,0.320679012345679,0.9545154523127302,0.001960583083682182,0.447086258483395
mozambique,0.31851851851851853,0.9545154523127302,0.004617689178016763,0.44653743278868163
antigua and barbuda,0.31790123456790126,0.9545154523127302,1.37773057030765e-05,0.4453080084389103
bosnia and herzegovina,0.3172839506172839,0.9545154523127302,0.000494916923917642,0.44509559438724455
georgia,0.31666666666666665,0.9545154523127302,0.0005584238440186196,0.4447996537959561
zambia,0.3148148148148148,0.9545154523127302,0.0028589934393516074,0.4443338417890968
angola,0.3117283950617284,0.9545154523127302,0.005017817560677273,0.4432223967368187
china,0.19907407407407407,0.9734240687679084,0.21167123312513608,0.43389850429243676
luxembourg,0.2882716049382716,0.9545154523127302,9.456563469315793e-05,0.4305093512898935
south sudan,0.2777777777777778,0.9545154523127302,0.0016048173073762138,0.4255644880441832
comoros,0.2777777777777778,0.9545154523127302,0.00012032799332248496,0.42526759018137245
ethiopia,0.2617283950617284,0.9545154523127302,0.017838175934334375,0.4207864684115501
mexico,0.2339506172839506,0.9933068507423808,0.01902041819805876,0.4187714475043013
portugal,0.26358024691358023,0.9545154523127302,0.0015446076343699309,0.4184536806774831
belgium,0.26141975308641974,0.9545154523127302,0.001730841568437834,0.41741068055071645
italy,0.25679012345679014,0.9545154523127302,0.008916090203891452,0.4165329154629924
"gambia, the",0.2580246913580247,0.9545154523127302,0.00037737106252115225,0.4154424555853356
france,0.2675925925925926,0.9302889207258834,0.010140465108304138,0.41491106553572216
slovak republic,0.254320987654321,0.9545154523127302,0.0008188481627856191,0.4136788991535366
lesotho,0.24320987654320989,0.9545154523127302,0.00033536892567582815,0.40802664775055913
eswatini,0.24320987654320989,0.9545154523127302,0.00017891461853455492,0.4079953568891309
netherlands,0.24012345679012345,0.9545154523127302,0.0026163020427695137,0.40693962449743465
germany,0.21604938271604937,0.9737329137113063,0.012474497989037183,0.402639465069224
burkina faso,0.2308641975308642,0.9545154523127302,0.0032218983758858545,0.4024311141344283
denmark,0.2169753086419753,0.9545154523127302,0.0008747363585364971,0.395017237286514
usa,0.22067901234567902,0.9142579581583389,0.04973812264844525,0.3945645181500302
tajikistan,0.2132716049382716,0.9545154523127302,0.0014624395647503511,0.39328292607590487
senegal,0.21172839506172839,0.9545154523127302,0.0025184570115073094,0.39272252462698465
czechia,0.20895061728395062,0.9545154523127302,0.0016047259546861329,0.39115088952673155
latvia,0.20586419753086418,0.9545154523127302,0.0002850757446824688,0.3893437496081876
lebanon,0.20401234567901236,0.9545154523127302,0.0008553848886898942,0.3885318855110632
zimbabwe,0.20277777777777778,0.9545154523127302,0.0023291017855260987,0.38820934493981313
lithuania,0.20246913580246914,0.9545154523127302,0.00042156776399025975,0.38767351714785164
greece,0.20123456790123456,0.9545154523127302,0.0016048371079592854,0.3872928870660282
spain,0.1962962962962963,0.9545154523127302,0.007104122796524814,0.38592360840127216
romania,0.19660493827160494,0.9545154523127302,0.002889872598656387,0.3852350793493528
kenya,0.19444444444444445,0.9545154523127302,0.007832830754933807,0.385143424067028
estonia,0.19320987654320987,0.9545154523127302,0.00019943417277797264,0.38299946079997954
sweden,0.1925925925925926,0.9545154523127302,0.0015530620333283078,0.38296154439678104
belarus,0.19074074074074074,0.9545154523127302,0.0014070342332184725,0.3820064129108331
north macedonia,0.19104938271604938,0.9545154523127302,0.00027842679888963226,0.3819350124116216
bulgaria,0.18765432098765433,0.9545154523127302,0.000982633335800366,0.3803783228548063
turkiye,0.18302469135802468,0.9545154523127302,0.012508070327648552,0.3803685954383611
poland,0.18518518518518517,0.9545154523127302,0.005627527914940017,0.3800727338693996
hungary,0.18179012345679013,0.9545154523127302,0.0014506055662722311,0.37753981853546853
ukraine,0.1743827160493827,0.9545154523127302,0.006702199461007969,0.374886433610712
russia,0.1419753086419753,0.9943893750484009,0.021787413778331013,0.3736619495911741
armenia,0.1734567901234568,0.9545154523127302,0.0004442380815676355,0.37317187837186094
malta,0.1728395061728395,0.9545154523127302,7.732577702762129e-05,0.3727898539356443
canada,0.16574074074074074,0.960458452722063,0.005704463680482892,0.37214879892308583
argentina,0.1824074074074074,0.92621776504298,0.006778994372403083,0.3704248320910783
pakistan,0.15246913580246912,0.9545154523127302,0.03525129995207995,0.36963946358546956
finland,0.1654320987654321,0.9545154523127302,0.0008294558751530468,0.3692365762515657
kyrgyz republic,0.16450617283950617,0.9545154523127302,0.0010090191127876181,0.36880952593612965
cyprus,0.1537037037037037,0.9545154523127302,0.00019534280229856785,0.3632455561061306
australia,0.1648148148148148,0.9334464384456843,0.003847500498116668,0.363210839040736
moldova,0.1388888888888889,0.9545154523127302,0.0003952811399227835,0.355878136366248
azerbaijan,0.13796296296296295,0.9545154523127302,0.001514012733435764,0.35563891972198763
israel,0.13425925925925927,0.9545154523127302,0.0013823057050325572,0.35376072646445517
botswana,0.12839506172839507,0.9545154523127302,0.0003548945506508119,0.3506231454681467
west bank and gaza,0.12407407407407407,0.9545154523127302,0.0007205115670482172,0.34853577504426575
eritrea,0.11851851851851852,0.9545154523127302,0.000493705188235419,0.3457126359907253
morocco,0.10679012345679012,0.9545154523127302,0.005487792800132144,0.34084725598224047
afghanistan,0.10092592592592593,0.9545154523127302,0.005860519425887638,0.33798970254195954
chad,0.09938271604938272,0.9545154523127302,0.0025837779350256084,0.33656274930551555
mali,0.08703703703703704,0.9545154523127302,0.0032571713145751347,0.33052458847525257
namibia,0.08796296296296297,0.9545154523127302,0.00040932635351499723,0.3304179824460035
"somalia, fed. rep.",0.08703703703703704,0.9545154523127302,0.0024977522018086373,0.33037270465269925
sudan,0.07716049382716049,0.9545154523127302,0.00701859132786255,0.3263386008729718
kazakhstan,0.07716049382716049,0.9545154523127302,0.0029224036066034845,0.32551936332872
"iran, islamic rep.",0.07037037037037037,0.9545154523127302,0.013158903942876186,0.32417160166757947
mongolia,0.07438271604938272,0.9545154523127302,0.0004990952969590286,0.3236458127779022
cabo verde,0.07037037037037037,0.9545154523127302,7.720412344526391e-05,0.3215552617036933
iraq,0.06666666666666667,0.9545154523127302,0.006317676787891908,0.32095150438473075
djibouti,0.06790123456790123,0.9545154523127302,0.00016578308184756778,0.3203384095941391
uzbekistan,0.06358024691358025,0.9545154523127302,0.005038104158060763,0.3191523799822213
tunisia,0.06388888888888888,0.9545154523127302,0.0017961614419252127,0.3186583124266485
"yemen, rep.",0.05154320987654321,0.9545154523127302,0.005420389065280883,0.31321031844514685
turkmenistan,0.04969135802469136,0.9545154523127302,0.0010425174992213032,0.31140881820600896
niger,0.04660493827160494,0.9545154523127302,0.003557746715679086,0.31036865417275733
oman,0.038580246913580245,0.9545154523127302,0.0006783945268193102,0.305780438055973
kuwait,0.03734567901234568,0.9545154523127302,0.0006600594869037228,0.3051594870973726
jordan,0.03425925925925926,0.9545154523127302,0.001629832193994583,0.30381023176224753
algeria,0.027469135802469135,0.9545154523127302,0.006606508193168066,0.3014105052336872
mauritania,0.028395061728395062,0.9545154523127302,0.0006900399697449971,0.3006901745519655
bahrain,0.025617283950617284,0.9545154523127302,0.00022083710303434049,0.2992074450897345
qatar,0.022839506172839506,0.9545154523127302,0.00041913454233869515,0.2978582156887065
libya,0.01728395061728395,0.9545154523127302,0.0010568409710074414,0.2952079791966625
